"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"TF"	"SoxN_bind"	"SoxN_target"	"D_bind"	"D_target"
6.57096832632623e-21	0.665869204952207	0.606	0.101	1.14945948932425e-16	18	"pnt"	TRUE	TRUE	FALSE	TRUE	TRUE
7.06019542796268e-21	0.569179420721447	0.545	0.089	1.23503998621351e-16	18	"beta-Man"	FALSE	FALSE	FALSE	FALSE	FALSE
7.99177243277869e-21	0.447474669505228	0.485	0.068	1.39800075166598e-16	18	"RpS5b"	FALSE	FALSE	FALSE	FALSE	FALSE
4.43202518070281e-20	0.413227543724055	0.515	0.079	7.75294164860342e-16	18	"CG7120"	FALSE	FALSE	FALSE	TRUE	TRUE
5.60807600484723e-20	0.450853704395146	0.303	0.029	9.81020735527925e-16	18	"MFS14"	FALSE	FALSE	FALSE	FALSE	FALSE
5.75377965439428e-20	0.598091787088035	0.545	0.089	1.00650867494319e-15	18	"Esyt2"	FALSE	FALSE	FALSE	FALSE	FALSE
7.73877902308572e-20	0.430828233960517	0.424	0.057	1.35374461450838e-15	18	"CG10420"	FALSE	FALSE	FALSE	FALSE	FALSE
1.26537037127162e-19	0.641846491910314	0.515	0.082	2.21351239046544e-15	18	"betaTub97EF"	FALSE	FALSE	FALSE	FALSE	FALSE
1.95250277221753e-19	1.05020527038106	0.727	0.176	3.41551309944013e-15	18	"Tis11"	FALSE	FALSE	FALSE	TRUE	FALSE
2.0527283304464e-19	1.14577798295751	0.909	0.322	3.59083766844989e-15	18	"mnd"	FALSE	FALSE	FALSE	TRUE	FALSE
2.30812148894131e-19	0.39548778050099	0.515	0.081	4.03759692060503e-15	18	"CG12811"	FALSE	FALSE	FALSE	TRUE	FALSE
5.91908276082615e-19	0.695427292201606	0.636	0.134	1.03542514735132e-14	18	"CG8507"	FALSE	FALSE	FALSE	FALSE	FALSE
6.52984096712132e-19	0.567457908046711	0.515	0.089	1.14226508037853e-14	18	"CG33052"	FALSE	FALSE	FALSE	FALSE	FALSE
6.91781526581666e-19	0.473217808406458	0.545	0.09	1.21013342444931e-14	18	"nrv1"	FALSE	TRUE	FALSE	FALSE	FALSE
7.37361505896292e-19	0.438263466398778	0.455	0.065	1.28986648226438e-14	18	"CG5973"	FALSE	TRUE	TRUE	FALSE	FALSE
9.68729268161937e-19	0.588778700257201	0.545	0.097	1.69459810879568e-14	18	"Ugalt"	FALSE	FALSE	FALSE	FALSE	FALSE
9.76519642167644e-19	1.10641831972777	0.909	0.341	1.70822581004386e-14	18	"sty"	FALSE	TRUE	FALSE	TRUE	TRUE
1.3231414120931e-18	1.45983105979906	1	0.532	2.31457127217446e-14	18	"ERp60"	FALSE	FALSE	FALSE	FALSE	FALSE
1.38285364962947e-18	0.513439930569433	0.424	0.06	2.41902588929683e-14	18	"Nhe2"	FALSE	FALSE	FALSE	TRUE	TRUE
1.76571825156208e-18	0.802455000476682	0.606	0.126	3.08877093745755e-14	18	"Gfat2"	FALSE	FALSE	FALSE	FALSE	FALSE
2.3901774623368e-18	0.795951163186491	0.576	0.109	4.18113743486577e-14	18	"CrebA"	TRUE	TRUE	FALSE	TRUE	TRUE
3.40285275863471e-18	1.3823924571016	0.939	0.45	5.95261033067971e-14	18	"Chd64"	FALSE	TRUE	TRUE	FALSE	FALSE
5.67515218138055e-18	0.975887685455566	0.788	0.23	9.92754371088899e-14	18	"CG17337"	FALSE	FALSE	FALSE	FALSE	FALSE
2.30765110354145e-17	0.676386545994749	0.636	0.141	4.03677407542506e-13	18	"CG15717"	FALSE	FALSE	FALSE	TRUE	FALSE
4.09625205321637e-17	0.334076803711093	0.424	0.064	7.16557371669139e-13	18	"CG5599"	FALSE	FALSE	FALSE	FALSE	FALSE
5.06505594391557e-17	1.62116037104701	1	0.788	8.86030236269151e-13	18	"CG42394"	FALSE	FALSE	FALSE	FALSE	FALSE
5.45935868257489e-17	0.540286608792722	0.394	0.056	9.55005614342825e-13	18	"ttk"	TRUE	TRUE	FALSE	TRUE	TRUE
6.48274484615921e-17	1.12418708664242	0.97	0.654	1.13402655593863e-12	18	"Sec61beta"	FALSE	FALSE	FALSE	FALSE	FALSE
7.55896032945563e-17	0.963288380012249	1	0.489	1.32228893043167e-12	18	"VhaM9.7-b"	FALSE	FALSE	FALSE	TRUE	FALSE
1.12253779651441e-16	0.538344421622711	0.545	0.108	1.96365536744266e-12	18	"CG8839"	FALSE	TRUE	FALSE	TRUE	FALSE
1.57150543820283e-16	0.867186185768855	0.909	0.289	2.7490344630482e-12	18	"CG1572"	FALSE	FALSE	FALSE	FALSE	FALSE
1.79990848456318e-16	0.618842811442878	0.606	0.136	3.14857991204636e-12	18	"Papst2"	FALSE	FALSE	FALSE	FALSE	FALSE
1.84030176566233e-16	0.718162024536842	0.545	0.112	3.21923987867311e-12	18	"AdSL"	FALSE	FALSE	FALSE	FALSE	FALSE
2.3621883098043e-16	0.610687369043193	0.636	0.147	4.13217601034067e-12	18	"CG12065"	FALSE	FALSE	FALSE	TRUE	FALSE
8.93643922641387e-16	0.868920093509602	0.667	0.172	1.56325131387658e-11	18	"GstD3"	FALSE	FALSE	FALSE	FALSE	FALSE
9.86556760484638e-16	0.526585205761516	0.273	0.03	1.72578374111578e-11	18	"CG10359"	FALSE	FALSE	FALSE	FALSE	FALSE
1.47605249943229e-15	0.528615187093792	0.515	0.104	2.58205863725691e-11	18	"CG5346"	FALSE	TRUE	FALSE	TRUE	TRUE
1.49077783686034e-15	0.363868407423735	0.485	0.087	2.60781767001979e-11	18	"MFS16"	FALSE	FALSE	FALSE	TRUE	FALSE
2.14485303228988e-15	0.300025028110375	0.364	0.052	3.75199140938469e-11	18	"CG12744"	TRUE	FALSE	FALSE	TRUE	FALSE
5.22536448252068e-15	1.07423909762076	0.848	0.308	9.14073008927343e-11	18	"CG17896"	FALSE	FALSE	FALSE	FALSE	FALSE
5.27206619953308e-15	0.539703052741575	0.545	0.113	9.22242540284321e-11	18	"Mvl"	FALSE	FALSE	FALSE	FALSE	FALSE
9.16618774194385e-15	0.439859444615325	0.485	0.096	1.60344122169824e-10	18	"lncRNA:CR33963"	FALSE	FALSE	FALSE	FALSE	FALSE
