"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"RpLP2"	6.64443412837509e-96	0.93328901904316	0.295	0.263	9.69422939329925e-92	"1"	"RpLP2"
"CG130561"	1.24520344826855e-93	0.422154362743924	0.349	0.291	1.81675183102381e-89	"1"	"CG13056"
"ND-30"	6.80829121981725e-91	0.467744178755045	0.138	0.254	9.93329688971337e-87	"1"	"ND-30"
"bic"	4.22712659619773e-88	0.450572400230274	0.14	0.254	6.16737770385249e-84	"1"	"bic"
"CG33199"	3.30836633841407e-87	0.468060321087591	0.138	0.252	4.82690648774612e-83	"1"	"CG33199"
"RpL13"	1.98086257114015e-80	0.859556882923363	0.307	0.29	2.89007849129347e-76	"1"	"RpL13"
"CG7781"	7.85955203688144e-79	0.304452927371949	0.209	0.356	1.146708642181e-74	"1"	"CG7781"
"RpS6"	6.99795193156069e-74	0.320901673787406	0.21	0.351	1.0210011868147e-69	"1"	"RpS6"
"RpS3"	3.62151599165106e-68	0.372210421580716	0.196	0.326	5.28379183181889e-64	"1"	"RpS3"
"CG7215"	1.3409872449495e-55	0.659726249527831	0.366	0.392	1.95650039038132e-51	"1"	"CG7215"
"Argk"	7.94703656371271e-53	0.278107678884216	0.525	0.564	1.15947263464568e-48	"1"	"Argk"
"RpL23A"	8.86251033416185e-52	0.748655470181997	0.308	0.311	1.29304025775421e-47	"1"	"RpL23A"
"RpL17"	6.46341481151828e-46	0.851744868756743	0.283	0.281	9.43012221000517e-42	"1"	"RpL17"
"blw"	2.29311551675074e-44	0.526988988905657	0.387	0.425	3.34565553893933e-40	"1"	"blw"
"Rack1"	3.53302394337409e-41	0.429108688620081	0.218	0.34	5.15468193338279e-37	"1"	"Rack1"
"CG2852"	1.40831784372235e-39	0.506665182840937	0.177	0.274	2.05473573399091e-35	"1"	"CG2852"
"7B2"	2.14710905876716e-39	0.26645442489431	0.272	0.416	3.13263211674128e-35	"1"	"7B2"
"RpL8"	9.6154238525983e-39	0.715354793262504	0.31	0.327	1.40289034009409e-34	"1"	"RpL8"
"CG5903"	9.08661512724342e-38	0.591511509368349	0.173	0.269	1.32573714706481e-33	"1"	"CG5903"
"Sod1"	6.45436355347178e-37	0.434086629769453	0.221	0.337	9.41691642451533e-33	"1"	"Sod1"
"ATPsynE"	2.73969694532481e-34	0.285417308295299	0.281	0.426	3.9972178432289e-30	"1"	"ATPsynE"
"Mdh2"	3.08790350556968e-31	0.565960699154273	0.176	0.265	4.50525121462617e-27	"1"	"Mdh2"
"Tsp42Ej"	1.97587171356855e-28	0.575236582141504	0.184	0.276	2.88279683009652e-24	"1"	"Tsp42Ej"
"eIF4A"	1.89935822040289e-27	0.558399774675542	0.347	0.386	2.77116364356781e-23	"1"	"eIF4A"
"Bacc"	3.57840091414643e-22	0.303412479464706	0.247	0.354	5.22088693373965e-18	"1"	"Bacc"
"RpL28"	2.30613433644119e-14	0.329663077773907	0.437	0.529	3.3646499968677e-10	"1"	"RpL28"
"Ald"	9.02563136220337e-11	0.397136376645985	0.253	0.345	1.31683961574547e-06	"1"	"Ald"
"Eno"	1.15954147015465e-08	0.456694663211594	0.242	0.326	0.000169177100495563	"1"	"Eno"
"RpL32"	7.32198611318117e-07	0.261390348638729	0.351	0.479	0.0106827777391313	"1"	"RpL32"
"Gapdh1"	1.39815912182916e-05	0.692849982246843	0.236	0.265	0.203991415874874	"1"	"Gapdh1"
"UQCR-C1"	1.60450011443502e-05	0.622973792727853	0.198	0.26	0.234096566696069	"1"	"UQCR-C1"
"Proc1"	1.71611151473444e-05	0.280717726716923	0.255	0.263	0.250380669999755	"1"	"Proc"
"awd"	1.96119564241838e-05	0.753209516821765	0.254	0.296	0.286138444228841	"1"	"awd"
"Mpcp2"	0.000972953981499262	0.562729203212481	0.24	0.315	1	"1"	"Mpcp2"
"RpLP0"	0.0011928545897145	0.681274751761771	0.265	0.317	1	"1"	"RpLP0"
"PyK"	0.0015694227398559	0.605172291703249	0.226	0.294	1	"1"	"PyK"
"Fer2LCH"	0.00192567025149731	0.566785697050884	0.229	0.299	1	"1"	"Fer2LCH"
"nAChRalpha6"	0	1.29103047011065	0.8	0.249	0	"2"	"nAChRalpha6"
"Dop2R"	0	1.10175246463532	0.698	0.257	0	"2"	"Dop2R"
"Hsromega"	0	1.10107527075043	0.969	0.466	0	"2"	"Hsromega"
"sif"	0	1.08930383612609	0.816	0.26	0	"2"	"sif"
"CG42750"	0	1.07749692683068	0.559	0.157	0	"2"	"CG42750"
"Rdl"	0	1.04791828300347	0.945	0.343	0	"2"	"Rdl"
"pros"	0	1.0460218625924	0.812	0.455	0	"2"	"pros"
"CR31451"	0	1.03670327242883	0.878	0.383	0	"2"	"CR31451"
"Liprin-gamma"	0	1.01602894393886	0.772	0.235	0	"2"	"Liprin-gamma"
"CG43729"	0	0.993832030955717	0.548	0.168	0	"2"	"CG43729"
"Dscam2"	0	0.981677663869392	0.666	0.205	0	"2"	"Dscam2"
"chinmo"	0	0.964195357116113	0.793	0.257	0	"2"	"chinmo"
"Cngl"	0	0.958928637761512	0.83	0.287	0	"2"	"Cngl"
"Antp"	0	0.955313785467921	0.519	0.182	0	"2"	"Antp"
"nAChRbeta1"	0	0.949320898927642	0.829	0.276	0	"2"	"nAChRbeta1"
"rad"	0	0.945619840013226	0.321	0.106	0	"2"	"rad"
"Rim"	0	0.944350245758821	0.705	0.222	0	"2"	"Rim"
"sbb"	0	0.927634658708173	0.851	0.289	0	"2"	"sbb"
"dysc"	0	0.920694464737807	0.845	0.28	0	"2"	"dysc"
"dpr13"	0	0.919751896380769	0.49	0.153	0	"2"	"dpr13"
"slo"	0	0.912137552754738	0.735	0.238	0	"2"	"slo"
"dati"	0	0.905808866891036	0.479	0.15	0	"2"	"dati"
"Pitslre"	0	0.904610774483896	0.63	0.2	0	"2"	"Pitslre"
"CG31221"	0	0.897943082975157	0.623	0.269	0	"2"	"CG31221"
"side"	0	0.897451804356406	0.477	0.145	0	"2"	"side"
"Sh"	0	0.897298422874051	0.89	0.31	0	"2"	"Sh"
"Nlg3"	0	0.896979558403323	0.582	0.188	0	"2"	"Nlg3"
"CG45263"	0	0.895382807318614	0.604	0.196	0	"2"	"CG45263"
"NaCP60E"	0	0.89307314209707	0.708	0.232	0	"2"	"NaCP60E"
"sd"	0	0.889862595039413	0.712	0.228	0	"2"	"sd"
"nAChRalpha5"	0	0.887700280977272	0.612	0.195	0	"2"	"nAChRalpha5"
"qvr"	0	0.886301723356421	0.798	0.266	0	"2"	"qvr"
"Cp110"	0	0.884828011721094	0.493	0.138	0	"2"	"Cp110"
"shakB"	0	0.884403441872159	0.675	0.224	0	"2"	"shakB"
"roX1"	0	0.874468049944141	0.981	0.62	0	"2"	"roX1"
"jim"	0	0.87404971342911	0.947	0.484	0	"2"	"jim"
"bru3"	0	0.871541548735381	0.634	0.228	0	"2"	"bru3"
"Ten-a"	0	0.868387655946564	0.86	0.311	0	"2"	"Ten-a"
"Ptp99A"	0	0.861950097462254	0.697	0.237	0	"2"	"Ptp99A"
"CG42260"	0	0.852053397085055	0.553	0.174	0	"2"	"CG42260"
"Lar"	0	0.849291062040082	0.692	0.225	0	"2"	"Lar"
"pum"	0	0.841778158291395	0.955	0.408	0	"2"	"pum"
