"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"sbb"	0.000230786462329506	0.42174113822964	0.515	0.576	1	"1"	"sbb"
"trn"	0.000628184147277859	0.427424881852003	0.545	0.608	1	"1"	"trn"
"blot"	0.00514197481926726	0.311515907525734	0.352	0.361	1	"1"	"blot"
"CG34224"	3.65569569345786e-206	1.12952944058221	0.972	0.526	7.22292355113403e-202	"2"	"CG34224"
"CG10176"	1.38817963993747e-173	0.379217033509708	0.721	0.194	2.74276533258846e-169	"2"	"CG10176"
"Coop"	2.10881451271787e-160	0.288603869368017	0.73	0.209	4.16659571422797e-156	"2"	"Coop"
"CR44317"	7.23364759903722e-158	0.396468480501456	0.786	0.25	1.42922409261777e-153	"2"	"CR44317"
"pyr"	2.03390126280345e-147	0.290696637850614	0.551	0.13	4.01858211504707e-143	"2"	"pyr"
"CG13427"	4.61908117789249e-137	0.481161077549825	1	0.981	9.12638059127998e-133	"2"	"CG13427"
"ths1"	3.36705260646837e-126	0.517328104563029	0.745	0.276	6.6526225398602e-122	"2"	"ths"
"5-HT2A"	2.82617585572389e-122	0.254807174804612	0.707	0.228	5.58395825573927e-118	"2"	"5-HT2A"
"CG4440"	1.57745308366711e-119	0.461211845419983	1	0.955	3.11673180270948e-115	"2"	"CG4440"
"Mipp1"	1.03284320347803e-116	0.303661160193424	0.727	0.255	2.0406916014319e-112	"2"	"Mipp1"
"ImpL2"	2.17171424495494e-113	0.75102348459225	0.87	0.445	4.29087300518198e-109	"2"	"ImpL2"
"CG42394"	2.43308040259962e-112	0.392696573620829	0.905	0.415	4.80728025945633e-108	"2"	"CG42394"
"CG5191"	1.65829449124536e-102	0.272973315119441	0.783	0.317	3.27645825580259e-98	"2"	"CG5191"
"CG10035"	3.93619298804319e-101	0.408149163808025	1	0.944	7.77713010577573e-97	"2"	"CG10035"
"tsh"	1.19444466077344e-99	0.425646892041663	0.85	0.394	2.35998376075616e-95	"2"	"tsh"
"Brd"	2.10304766872142e-98	0.515466486384013	0.982	0.611	4.15520158385979e-94	"2"	"Brd"
"CG2162"	9.30064458916083e-98	0.278782750071139	0.77	0.317	1.8376213579264e-93	"2"	"CG2162"
"Atg18a"	6.82254172257795e-97	0.358645555045343	0.899	0.445	1.34799779354695e-92	"2"	"Atg18a"
"BobA"	1.16555514675993e-96	0.450742227919788	1	0.89	2.30290385896828e-92	"2"	"BobA"
"Tom"	5.11233560672236e-96	0.437447088531914	0.999	0.897	1.0100952691762e-91	"2"	"Tom"
"Pino"	5.78017370299896e-94	0.457821488930217	0.897	0.479	1.14204672023853e-89	"2"	"Pino"
"CREG"	1.29965440909907e-85	0.322217425212993	0.881	0.448	2.56785718149795e-81	"2"	"CREG"
"CG5059"	6.82597753491642e-84	0.435031566380393	0.993	0.771	1.34867664134879e-79	"2"	"CG5059"
"bxd"	6.8295298764474e-83	0.550077310914993	0.661	0.295	1.34937851298848e-78	"2"	"bxd"
"opa"	1.11859299079599e-80	0.265059911448193	0.871	0.401	2.21011603121473e-76	"2"	"opa"
"CG15480"	2.73612824603188e-78	0.265857087224691	0.645	0.264	5.40604218850978e-74	"2"	"CG15480"
"CG5888"	4.25233699864031e-77	0.276761990383794	0.875	0.427	8.40176744191353e-73	"2"	"CG5888"
"CR43887"	4.33858441818579e-77	0.404702903914025	1	0.956	8.57217509345149e-73	"2"	"CR43887"
"Ocho"	3.9668807819201e-74	0.411986597282026	0.96	0.604	7.83776304891773e-70	"2"	"Ocho"
"CG13465"	1.66119270631799e-73	0.356896255547265	0.937	0.525	3.28218454914309e-69	"2"	"CG13465"
"Obp99a"	3.58538824256363e-72	0.308308082743314	0.479	0.171	7.08401008965721e-68	"2"	"Obp99a"
"CG13454"	1.05641634316778e-70	0.30774522874059	0.927	0.489	2.08726741083091e-66	"2"	"CG13454"
"bl"	1.51317325867295e-69	0.318076926515328	0.997	0.842	2.98972772448601e-65	"2"	"bl"
"pnr"	2.9706034550736e-69	0.320163472193166	0.399	0.129	5.86931830653441e-65	"2"	"pnr"
"Atx-1"	5.85486789113362e-66	0.728440577258555	0.739	0.41	1.15680479793018e-61	"2"	"Atx-1"
"Lac1"	7.57727913500015e-65	0.341337592278089	0.994	0.79	1.49711881149333e-60	"2"	"Lac"
"dan"	1.11271554304483e-63	0.314202570752441	0.96	0.566	2.19850336994797e-59	"2"	"dan"
"odd"	3.46401876006667e-60	0.262088534151764	0.591	0.262	6.84420826613972e-56	"2"	"odd"
"CG14561"	1.67785797354761e-55	0.252854024485543	0.959	0.586	3.31511178413537e-51	"2"	"CG14561"
"CG19431"	4.4362337500779e-51	0.272267525075473	0.997	0.834	8.76511064340392e-47	"2"	"CG1943"
"CG4455"	6.79024654988421e-50	0.253507173391156	0.946	0.559	1.34161691332612e-45	"2"	"CG4455"
"Cys"	2.62633470887975e-47	0.385488692087219	0.994	0.829	5.18911211780461e-43	"2"	"Cys"
"CG11825"	3.12770630195822e-46	0.289933768943512	0.771	0.394	6.17972211140904e-42	"2"	"CG11825"
"Oda1"	3.1275267132745e-45	0.269998394295254	0.999	0.839	6.17936728008777e-41	"2"	"Oda"
"His4r1"	3.3527410096792e-45	0.258121400061225	0.997	0.893	6.62434568692415e-41	"2"	"His4r"
"baf"	1.29557686112481e-44	0.253027239163403	0.974	0.624	2.5598007622104e-40	"2"	"baf"
"gsb"	1.31751087167226e-44	0.315917971714002	0.333	0.126	2.60313798025005e-40	"2"	"gsb"
"SoxN"	1.72339252086318e-40	0.388839817361211	0.695	0.45	3.40507894272146e-36	"2"	"SoxN"
"CG14915"	1.66777719186613e-30	0.289663747500075	0.877	0.578	3.2951941756891e-26	"2"	"CG14915"
"CR45559"	4.39555704898808e-23	0.30826512365677	0.255	0.117	8.68474161739065e-19	"2"	"CR45559"
"oc"	3.44196314411599e-234	1.04364899461211	0.516	0.065	6.80063078014437e-230	"3"	"oc"
"CG3502"	3.00461197889683e-222	0.958741549763496	0.698	0.152	5.93651234790436e-218	"3"	"CG3502"
"gt"	5.87099406069938e-122	0.650071018014308	0.425	0.089	1.15999100651298e-117	"3"	"gt"
"Dll"	5.268862975331e-110	0.701137864872915	0.34	0.061	1.0410219466659e-105	"3"	"Dll"
"fj"	7.27734589018536e-104	0.753540459092865	0.51	0.15	1.43785800098282e-99	"3"	"fj"
"CG42342"	1.23134972989462e-103	1.21173689610214	0.568	0.191	2.43290079632579e-99	"3"	"CG42342"
"CG43085"	5.58066647937691e-93	0.545591552992285	0.596	0.224	1.10262808299529e-88	"3"	"CG43085"
"Hsp83"	6.29697334369588e-90	0.481964440444268	0.677	0.28	1.24415599324743e-85	"3"	"Hsp83"
"cnc"	1.27351002631996e-81	0.571451021761352	0.367	0.097	2.51620111000297e-77	"3"	"cnc"
