"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"TF"
"81"	8.58134947945554e-20	0.706717060840699	0.365	0.251	1.50113546444116e-15	0	"CG8861"	FALSE
"82"	1.36205836653842e-19	0.686949645090044	0.467	0.372	2.38264870058566e-15	0	"unc-13-4A"	FALSE
"83"	3.61135429585099e-19	0.555799068302743	0.342	0.239	6.31734206973213e-15	0	"CG14186"	FALSE
"84"	7.35353847675541e-19	0.587409913396607	0.516	0.418	1.28635448573882e-14	0	"side"	FALSE
"85"	7.96129026477604e-17	0.716229051292489	0.655	0.655	1.39266850601727e-12	0	"mt:ND6"	FALSE
"86"	4.62437280377389e-15	0.741766506269734	0.398	0.309	8.08941534564167e-11	0	"SPR"	FALSE
"87"	7.88134730054443e-15	0.600477452361452	0.411	0.325	1.37868408328424e-10	0	"Ca-alpha1T"	FALSE
"88"	1.54215591428749e-13	0.594564686954238	0.506	0.465	2.69769334086311e-09	0	"CG42389"	FALSE
"89"	1.11851448748421e-12	0.576104837198353	0.287	0.214	1.95661739295612e-08	0	"NPF"	FALSE
"90"	4.97748037981739e-12	0.553532432522893	0.498	0.469	8.70710642841456e-08	0	"CG17716"	FALSE
"91"	1.1242926066621e-11	0.66893932952432	0.326	0.25	1.96672505683401e-07	0	"CG32982"	FALSE
"92"	8.06871711285389e-11	0.572529304742979	0.407	0.347	1.41146068455153e-06	0	"Pvf3"	FALSE
"93"	9.56671454379642e-11	0.568363765138413	0.563	0.517	1.67350537514631e-06	0	"Fas2"	FALSE
"94"	3.85284257824776e-10	0.812786402571366	0.387	0.34	6.7397775221288e-06	0	"Ddc"	FALSE
"95"	5.07960852693002e-10	0.647690695675621	0.323	0.252	8.88575919615868e-06	0	"beat-IIIc"	FALSE
"96"	5.75586153849101e-10	0.553231231243943	0.386	0.355	1.00687285892823e-05	0	"Cip4"	FALSE
"97"	2.45970756147176e-09	0.578879906518512	0.365	0.305	4.30276643728255e-05	0	"fred"	FALSE
"98"	3.49512628601165e-08	0.60766942101489	0.309	0.246	0.000611402441212017	0	"CG13739"	FALSE
"99"	9.31083333891018e-07	0.561713539366619	0.296	0.247	0.0162874407597556	0	"Hr38"	TRUE
"100"	9.50156911810033e-06	0.552404135227603	0.603	0.651	0.166210948582929	0	"heph"	FALSE
"101"	9.2818260250876e-230	0.660092121474158	1	0.988	1.62366982656857e-225	1	"14-3-3zeta"	FALSE
"102"	6.92231756886418e-228	0.943777875060702	1	0.752	1.21092101232141e-223	1	"His3.3B"	FALSE
"103"	8.46890298285753e-213	0.643604914203508	0.667	0.145	1.48146519879127e-208	1	"Tsp42Ek"	FALSE
"104"	3.45703161326777e-211	0.942613505036042	1	0.941	6.0473854010893e-207	1	"Cam"	FALSE
"105"	3.01163960752978e-176	0.541560769835025	1	0.966	5.26826116545184e-172	1	"14-3-3epsilon"	FALSE
"106"	3.94709913349319e-176	0.694848500502796	0.999	0.835	6.90466051421964e-172	1	"miple1"	FALSE
"107"	1.73861980338847e-175	0.77046714063004	0.904	0.362	3.04136762206745e-171	1	"Syn"	FALSE
"108"	5.29603044446724e-168	0.632899952279656	1	0.89	9.26434605650655e-164	1	"Gbeta13F"	FALSE
"109"	1.41347817263868e-164	0.75320831210936	0.967	0.503	2.47259736739684e-160	1	"Rop"	FALSE
"110"	4.67171486043665e-164	0.775694738939253	0.994	0.656	8.17223080536183e-160	1	"Galphao"	FALSE
"111"	4.77706195300446e-164	0.751866164487635	1	0.857	8.3565144743907e-160	1	"fax"	FALSE
"112"	3.31596175611208e-155	0.713750366570873	1	0.956	5.80061189996685e-151	1	"Ald"	FALSE
"113"	6.68243513487521e-152	0.711100868886179	0.991	0.62	1.16895837814372e-147	1	"CanB"	FALSE
"114"	3.10556512951856e-145	0.591544806314218	0.837	0.343	5.43256508106683e-141	1	"CG4230"	FALSE
"115"	8.41139025162939e-145	0.672211871705354	0.963	0.513	1.47140449671753e-140	1	"Vha68-1"	FALSE
"116"	1.24282579122682e-144	0.570556799707355	0.826	0.343	2.17407515659308e-140	1	"AP-2mu"	FALSE
"117"	8.00036153748908e-142	0.899241040516954	0.996	0.761	1.39950324375296e-137	1	"IA-2"	FALSE
"118"	1.41224361758528e-141	0.678524111676486	0.999	0.715	2.47043776024193e-137	1	"nSyb"	FALSE
"119"	2.36434319650894e-139	0.67814916139438	0.996	0.841	4.13594555365309e-135	1	"Sap47"	FALSE
"120"	2.9429343042667e-138	0.677926637293308	0.988	0.668	5.14807497845375e-134	1	"OtopLa"	FALSE
"121"	7.14165227791124e-137	0.699750682805034	0.987	0.591	1.24928923297501e-132	1	"Dhit"	FALSE
"122"	2.97203471772604e-136	0.665018426445438	0.985	0.551	5.19898033171817e-132	1	"lncRNA:CR31451"	FALSE
"123"	1.92747247463122e-135	0.652755852228101	0.994	0.721	3.3717275998724e-131	1	"Appl"	FALSE
"124"	1.35762769302247e-133	0.632485542960034	0.967	0.52	2.37489812340421e-129	1	"CG4612"	FALSE
"125"	3.47447517723353e-133	0.552105309416168	0.885	0.391	6.07789942753461e-129	1	"chn"	TRUE
"126"	7.55433379607339e-132	0.648054157114069	0.952	0.531	1.32147961094712e-127	1	"Spred"	FALSE
"127"	3.61231409599735e-131	0.636611542782779	0.97	0.516	6.31902104812817e-127	1	"Alk"	FALSE
"128"	6.56385756080554e-130	0.585932844673423	0.933	0.463	1.14821560311171e-125	1	"Cds"	FALSE
"129"	1.96324745667276e-129	0.57178097537566	0.943	0.492	3.43430877595766e-125	1	"unc-104"	FALSE
"130"	1.61659053555671e-128	0.682588290027273	0.955	0.501	2.82790182384935e-124	1	"CanA-14F"	FALSE
"131"	1.9351927855774e-128	0.621469764428192	0.973	0.529	3.38523273981054e-124	1	"CG31140"	FALSE
"132"	2.02288416271145e-128	0.683272724346867	0.997	0.824	3.53863126583114e-124	1	"fne"	FALSE
"133"	2.21578218687846e-128	0.713079127133659	0.808	0.342	3.8760677795065e-124	1	"CG13995"	FALSE
"134"	1.66731165119307e-127	0.646493872918896	0.991	0.609	2.91662827143204e-123	1	"Syt1"	FALSE
"135"	9.46202370738435e-127	0.552904695422119	0.892	0.387	1.65519180713274e-122	1	"RSG7"	FALSE
"136"	2.41948728613124e-125	0.611085888731331	0.91	0.429	4.23240910962938e-121	1	"Nckx30C"	FALSE
"137"	3.83976860369727e-125	0.569693870087666	0.862	0.369	6.71690721844763e-121	1	"dpr14"	FALSE
"138"	2.27056065158638e-124	0.630851628213819	0.924	0.456	3.97189174782005e-120	1	"Pal2"	FALSE
"139"	2.43654540476822e-124	0.590763337882849	0.852	0.378	4.26224887656104e-120	1	"Gs1"	FALSE
"140"	3.10624215080783e-124	0.591627245292581	0.933	0.464	5.43374939440813e-120	1	"Pkc98E"	FALSE
"141"	3.43373236559196e-124	0.615790273837884	1	0.908	6.00662802713001e-120	1	"Eno"	FALSE
"142"	1.39202010729892e-119	0.549975140041846	0.897	0.438	2.435060773698e-115	1	"EndoA"	FALSE
"143"	2.02672961023375e-119	0.704751977216205	0.999	0.83	3.54535810718191e-115	1	"bru3"	FALSE
"144"	3.19602889566575e-117	0.749965372432497	0.964	0.608	5.5908133471881e-113	1	"CG2269"	FALSE
